solo_dist_km,bundle_dist_km,dist_saved_km,pct_dist_saved,bundle_total_min,available_min,time_feasible,best_route,metro,order_id_1,order_id_2,order_type_1,order_type_2,delivery_type_1,delivery_type_2,same_store,basket_size_1,basket_size_2,pay_1,pay_2,store_to_store_km,cust_to_cust_km,leg1_km,leg2_km,creation_gap_min,bundle_type,viable,accepted
11.611,9.901,1.71,0.1472,49.3,240.0,True,s1->s2->c1->c2,Austin,O5,O43,shop_and_deliver,shop_and_deliver,same_day,next_day,True,5,1,7.38,5.2,0.0,6.568,3.333,4.945,28.1,both_shop,False,0
14.546,11.632,2.914,0.2003,53.4,120.0,True,s1->s2->c1->c2,Austin,O5,O327,shop_and_deliver,shop_and_deliver,same_day,on_demand,True,5,12,7.38,9.12,0.0,8.299,3.333,7.88,22.1,both_shop,True,0
20.033,15.253,4.781,0.2386,51.9,237.0,True,s1->s2->c1->c2,Austin,O5,O1199,shop_and_deliver,shop_and_deliver,same_day,same_day,True,5,6,7.38,8.940000000000001,0.0,11.92,3.333,13.368,3.0,both_shop,True,0
11.278,4.624,6.654,0.59,22.3,239.1,True,s1->s2->c1->c2,Austin,O5,O365,shop_and_deliver,delivery_only,same_day,same_day,True,5,8,7.38,7.64,0.0,1.291,3.333,4.613,0.9,mixed,True,1
16.085,11.805,4.28,0.2661,45.1,205.7,True,s1->s2->c1->c2,Austin,O5,O1006,shop_and_deliver,shop_and_deliver,same_day,same_day,True,5,19,7.38,12.26,0.0,8.472,3.333,9.419,34.3,both_shop,True,0
15.629,13.459,2.171,0.1389,47.7,213.1,True,s1->s2->c1->c2,Austin,O5,O3437,shop_and_deliver,delivery_only,same_day,same_day,True,5,5,7.38,5.61,0.0,10.126,3.333,8.964,26.9,mixed,False,0
8.23,4.27,3.959,0.4811,29.8,231.1,True,s1->s2->c2->c1,Austin,O5,O2962,shop_and_deliver,delivery_only,same_day,same_day,True,5,15,7.38,8.86,0.0,2.706,3.333,1.564,8.9,mixed,True,0
10.34,10.205,0.135,0.0131,55.2,210.8,True,s1->s2->c1->c2,Austin,O5,O2815,shop_and_deliver,shop_and_deliver,same_day,same_day,True,5,11,7.38,9.22,0.0,6.873,3.333,3.675,29.2,both_shop,False,0
10.139,10.126,0.012,0.0012,43.9,237.2,True,s1->s2->c1->c2,Austin,O5,O2367,shop_and_deliver,shop_and_deliver,same_day,same_day,True,5,2,7.38,5.22,0.0,6.794,3.333,3.474,2.8,both_shop,False,0
11.367,11.325,0.042,0.0037,47.8,216.4,True,s1->s2->c1->c2,Austin,O5,O85,shop_and_deliver,shop_and_deliver,same_day,same_day,False,5,11,7.38,8.37,0.373,7.982,3.333,5.066,23.6,both_shop,False,0
