hours_waiting,solo_cost,bundle_cost,bundle_cheaper
0.0,17.17,14.08,True
0.25,17.67,14.33,True
0.5,18.17,14.58,True
0.75,18.67,14.83,True
1.0,19.17,15.08,True
1.25,19.67,15.33,True
1.5,20.17,15.58,True
1.75,20.67,15.83,True
2.0,21.17,16.08,True
2.25,21.67,16.33,True
2.5,22.17,16.58,True
2.75,22.67,16.83,True
3.0,23.17,17.08,True
3.25,23.67,17.33,True
3.5,24.17,17.58,True
3.75,24.67,17.83,True
4.0,25.17,18.08,True
4.25,25.67,18.33,True
4.5,26.17,18.58,True
4.75,26.67,18.83,True
5.0,27.17,19.08,True
5.25,27.67,19.33,True
5.5,28.17,19.58,True
5.75,28.67,19.83,True
6.0,29.17,20.08,True
