solo_dist_km,bundle_dist_km,dist_saved_km,pct_dist_saved,bundle_total_min,available_min,time_feasible,best_route,metro,order_id_1,order_id_2,order_type_1,order_type_2,delivery_type_1,delivery_type_2,same_store,basket_size_1,basket_size_2,pay_1,pay_2,store_to_store_km,cust_to_cust_km,leg1_km,leg2_km,creation_gap_min,bundle_type,viable,accepted
43.68,19.578,24.102,0.5518,68.4,83.9,True,s1->s2->c1->c2,Austin,O325,O5400,shop_and_deliver,delivery_only,on_demand,on_demand,True,6,3,8.55,7.54,0.0,6.279,13.299,17.082,36.1,mixed,True,1
40.015,16.179,23.835,0.5957,55.9,94.0,True,s1->s2->c2->c1,Austin,O915,O1592,shop_and_deliver,delivery_only,on_demand,on_demand,True,4,5,5.47,7.69,0.0,3.728,13.781,12.452,26.0,mixed,True,1
40.699,17.569,23.129,0.5683,48.1,75.5,True,s1->s2->c1->c2,Austin,O4581,O5217,shop_and_deliver,delivery_only,on_demand,same_day,True,10,26,10.67,12.86,0.0,5.997,11.573,17.554,44.5,mixed,True,1
40.249,17.536,22.713,0.5643,41.4,201.0,True,s1->s2->c2->c1,Austin,O3158,O3751,shop_and_deliver,delivery_only,same_day,same_day,True,7,6,8.65,11.74,0.0,6.169,14.441,11.367,39.0,mixed,True,1
39.829,18.296,21.532,0.5406,41.3,85.4,True,s1->s2->c2->c1,Austin,O198,O435,shop_and_deliver,delivery_only,on_demand,on_demand,True,4,5,7.84,7.17,0.0,12.916,17.224,5.381,34.6,mixed,True,1
41.15,19.815,21.335,0.5185,38.4,108.8,True,s1->s2->c1->c2,Austin,O2243,O4541,delivery_only,delivery_only,on_demand,on_demand,True,7,4,7.33,10.42,0.0,6.624,13.191,14.767,11.2,both_delivery,True,1
32.745,11.56,21.185,0.647,50.6,120.0,True,s1->s2->c1->c2,Austin,O3424,O4616,shop_and_deliver,shop_and_deliver,on_demand,same_day,True,3,4,7.23,4.8,0.0,0.967,10.593,11.559,32.5,both_shop,True,1
35.059,14.847,20.212,0.5765,38.7,207.7,True,s1->s2->c2->c1,Austin,O189,O4744,delivery_only,delivery_only,same_day,next_day,True,4,10,6.56,6.17,0.0,8.095,14.153,6.752,32.3,both_delivery,True,1
31.845,12.137,19.709,0.6189,27.0,106.1,True,s1->s2->c2->c1,Austin,O3371,O4766,delivery_only,delivery_only,same_day,on_demand,True,17,14,9.44,8.82,0.0,4.309,12.009,7.828,13.9,both_delivery,True,1
30.187,10.701,19.486,0.6455,30.2,96.5,True,s1->s2->c2->c1,Austin,O1996,O2533,delivery_only,delivery_only,same_day,on_demand,True,9,17,10.35,9.79,0.0,0.984,10.235,9.717,23.5,both_delivery,True,1
43.117,23.937,19.18,0.4448,80.5,240.0,True,s1->s2->c2->c1,Austin,O2034,O3387,shop_and_deliver,shop_and_deliver,next_day,same_day,True,12,32,9.69,12.8,0.0,13.179,16.18,10.758,22.4,both_shop,True,1
36.054,17.523,18.531,0.514,39.0,101.8,True,s1->s2->c2->c1,Austin,O2453,O5141,delivery_only,delivery_only,on_demand,on_demand,True,24,15,12.73,9.33,0.0,10.694,14.612,6.829,18.2,both_delivery,True,1
36.309,17.842,18.467,0.5086,87.0,98.7,True,s1->s2->c1->c2,Austin,O2116,O2860,shop_and_deliver,shop_and_deliver,on_demand,on_demand,True,5,28,7.72,10.54,0.0,6.009,11.833,12.644,21.3,both_shop,True,1
49.119,30.767,18.352,0.3736,76.1,120.0,True,s1->s2->c2->c1,Austin,O815,O2066,delivery_only,delivery_only,next_day,on_demand,True,15,7,9.07,7.91,0.0,16.112,17.232,14.655,25.9,both_delivery,True,1
28.359,10.034,18.325,0.6462,53.7,233.0,True,s1->s2->c2->c1,Austin,O856,O3437,shop_and_deliver,delivery_only,same_day,same_day,False,10,5,11.19,5.61,0.373,0.697,9.77,8.964,7.0,mixed,True,1
30.21,11.954,18.256,0.6043,46.5,209.3,True,s1->s2->c1->c2,Austin,O3943,O5497,shop_and_deliver,shop_and_deliver,same_day,same_day,True,15,16,7.99,7.77,0.0,2.825,9.129,11.951,30.7,both_shop,True,1
