order_id,order_creation_ts,promised_by_ts,metro,retailer,store_id,store_lat,store_lon,customer_id,customer_lat,customer_lon,order_type,delivery_type,on_time_flag,basket_size,total_cost,revenue,markup,shopper_id,shopper_rating,preferred_shopper,base_pay,promo_pay,incentive_pay,total_shopper_pay
O1,2026-08-10 15:15:50.293175,2026-08-10 17:15:50.293175,Los Angeles,Kroger,S75,33.95468647812878,-118.09904949700118,C1970,33.80249416399673,-117.9519517366039,shop_and_deliver,on_demand,1,9,105.07,14.26,5.08,SH72,4.63,0,8.28,1,0,9.28
O2,2026-08-10 15:28:57.348854,2026-08-10 19:28:57.348854,Birmingham,Petco,S8,33.50635010335558,-86.84797875476436,C537,33.53041652140924,-86.87185130640682,shop_and_deliver,same_day,1,7,65.31,8.05,2.92,SH25,4.31,0,6.64,0,0,6.64
O3,2026-08-10 11:33:39.482132,2026-08-10 15:33:39.482132,Birmingham,Walgreens,S19,33.56456505385718,-86.82387194259158,C1669,33.56581114577991,-86.81814049605741,shop_and_deliver,same_day,1,8,53.64,4.89,2.01,SH21,4.98,0,6.36,0,1,7.36
O4,2026-08-10 09:23:17.691844,2026-08-10 11:23:17.691844,San Francisco,Meijer,S51,37.71496244523944,-122.4370917372399,C2344,37.70780764421792,-122.36539538907334,shop_and_deliver,on_demand,1,7,36.22,5.05,2.17,SH44,4.95,0,6.48,3,2,11.48
O5,2026-08-10 16:56:20.132990,2026-08-10 20:56:20.132990,Austin,Meijer,S115,30.232830533494944,-97.81209167665445,C2598,30.208460782298886,-97.79190064872049,shop_and_deliver,same_day,1,5,21.84,2.62,1.32,SH76,4.43,0,7.38,0,0,7.38
O6,2026-08-10 17:20:37.212532,2026-08-10 21:20:37.212532,San Francisco,CVS,S32,37.75791588742531,-122.46549571285698,C1203,37.733405844247486,-122.46820254277867,shop_and_deliver,same_day,1,16,237.33,32.92,8.3,SH37,4.89,0,10.26,2,0,12.26
O7,2026-08-10 08:21:55.788043,2026-08-10 10:21:55.788043,San Francisco,CVS,S32,37.75791588742531,-122.46549571285698,C2144,37.83501369261602,-122.49870884649498,shop_and_deliver,on_demand,1,22,184.98,22.04,6.7,SH29,4.44,1,9.55,2,1,12.55
O8,2026-08-10 11:47:48.926694,2026-08-10 13:47:48.926694,Austin,Walgreens,S105,30.30142870336481,-97.77137064374077,C805,30.16846113551234,-97.84920210241697,shop_and_deliver,on_demand,1,15,127.55,15.13,6.05,SH86,4.37,0,8.13,3,0,11.13
O9,2026-08-10 14:06:14.568012,2026-08-10 18:06:14.568012,Los Angeles,Lowe's,S72,34.18321899662102,-118.35244371675621,C2865,34.17364180782521,-118.31080782010288,delivery_only,same_day,1,2,11.56,1.61,0.74,SH66,4.22,1,6.87,0,0,6.87
O10,2026-08-10 08:23:39.365209,2026-08-11 08:23:39.365209,Birmingham,Lowe's,S21,33.5802112594271,-86.81944425599345,C2770,33.57463603038378,-86.80011143613248,delivery_only,next_day,1,12,122.97,17.72,3.86,SH15,5.0,0,8.59,0,1,9.59
O11,2026-08-10 10:43:00.730958,2026-08-10 14:43:00.730958,Birmingham,CVS,S22,33.58966892307698,-86.792778003814,C2612,33.5533975586918,-86.80181363778584,shop_and_deliver,same_day,1,12,48.44,5.46,2.03,SH25,4.31,0,9.06,0,0,9.06
O12,2026-08-10 15:34:56.585125,2026-08-10 17:34:56.585125,Austin,Lowe's,S101,30.228339403857436,-97.80491779376993,C1712,30.124078521679163,-97.84653557242514,shop_and_deliver,on_demand,1,14,90.56,8.66,4.66,SH89,5.0,1,8.78,0,0,8.78
O13,2026-08-10 16:30:20.942247,2026-08-10 20:30:20.942247,Birmingham,Petco,S4,33.53680070211378,-86.77294693599671,C2515,33.5550534938051,-86.74077162037567,delivery_only,same_day,1,14,151.27,20.07,5.5,SH6,4.84,0,9.64,2,0,11.64
O14,2026-08-10 08:39:22.541205,2026-08-10 10:39:22.541205,San Francisco,Lowe's,S33,37.81690462933478,-122.42546591910342,C934,37.8426280072863,-122.43894083336669,shop_and_deliver,on_demand,1,19,128.77,10.31,4.68,SH46,3.86,0,9.66,3,0,12.66
O15,2026-08-10 09:29:44.903136,2026-08-11 09:29:44.903136,Los Angeles,Petco,S62,34.04903582808327,-118.09800486376682,C2919,34.19624752563668,-118.12688438340628,shop_and_deliver,next_day,1,12,134.72,17.92,9.18,SH57,4.71,0,9.22,0,0,9.22
O16,2026-08-10 16:10:22.719719,2026-08-10 20:10:22.719719,San Francisco,Walgreens,S35,37.7948106827941,-122.40844426547507,C1978,37.792642178451985,-122.34618643929632,delivery_only,same_day,0,6,72.28,6.2,2.34,SH47,4.98,0,5.74,0,1,6.74
O17,2026-08-10 14:13:46.797008,2026-08-10 16:13:46.797008,Birmingham,Lowe's,S1,33.57197773763484,-86.86738173782409,C630,33.63393389481439,-86.83241601351502,delivery_only,on_demand,1,13,77.69,7.51,5.35,SH13,4.62,0,7.29,2,0,9.29
O18,2026-08-10 13:18:42.103008,2026-08-10 15:18:42.103008,San Francisco,Walgreens,S35,37.7948106827941,-122.40844426547507,C1519,37.77424237436165,-122.41237174465816,shop_and_deliver,on_demand,1,5,37.39,4.32,1.18,SH44,4.95,0,5.2,5,2,12.2
O19,2026-08-10 08:28:55.633399,2026-08-11 08:28:55.633399,San Francisco,Petco,S38,37.78225326370834,-122.38688393840545,C2890,37.78032911331055,-122.37702106609635,shop_and_deliver,next_day,1,12,145.48,20.58,6.72,SH31,4.81,0,7.48,0,0,7.48
O20,2026-08-10 16:58:49.099762,2026-08-10 20:58:49.099762,San Francisco,Meijer,S51,37.71496244523944,-122.4370917372399,C1476,37.7276200678665,-122.43396570412133,shop_and_deliver,same_day,0,10,142.79,14.94,4.86,SH50,4.76,1,7.46,0,0,7.46
O21,2026-08-10 08:57:19.271298,2026-08-10 12:57:19.271298,San Francisco,Meijer,S36,37.82136552910916,-122.42273420898056,C2669,37.796305117511366,-122.35837973514735,shop_and_deliver,same_day,1,4,53.96,5.14,1.83,SH50,4.76,1,4.57,0,0,4.57
