solo_dist_km,bundle_dist_km,dist_saved_km,pct_dist_saved,bundle_total_min,available_min,time_feasible,best_route,metro,order_id_1,order_id_2,order_type_1,order_type_2,delivery_type_1,delivery_type_2,same_store,basket_size_1,basket_size_2,pay_1,pay_2,store_to_store_km,cust_to_cust_km,leg1_km,leg2_km,creation_gap_min,bundle_type,viable,solo_pay_total,bundle_offer_pay,est_minutes,pay_per_hour,pay_per_km,total_items,items_per_dollar,assigned_shopper,shopper_rating,preferred_shopper,accepted,both_shop_flag,both_delivery_flag,same_store_flag,has_on_demand,metro_Austin,metro_Birmingham,metro_Los Angeles,metro_San Francisco,predicted_acceptance
11.419,4.906,6.513,0.5703,21.8,117.2,True,s2->s1->c1->c2,San Francisco,O1020,O2842,delivery_only,delivery_only,same_day,on_demand,False,8,18,7.86,10.86,0.119,1.391,3.396,4.62,2.8,both_delivery,True,18.72,15.35,21.8,42.25,3.07,26,1.694,SH6,4.84,0,1,0,1,0,1,0,0,0,1,0.9702185
7.164,6.122,1.041,0.1454,41.9,219.9,True,s1->s2->c1->c2,San Francisco,O2184,O3249,shop_and_deliver,delivery_only,same_day,same_day,False,4,4,5.68,6.63,0.376,3.803,2.041,3.179,20.1,mixed,False,12.309999999999999,10.09,41.9,14.45,1.62,8,0.793,SH5,4.75,0,0,0,0,0,0,0,0,0,1,0.18511778
10.301,8.337,1.965,0.1907,60.4,120.0,True,s1->s2->c1->c2,Birmingham,O3307,O5222,shop_and_deliver,shop_and_deliver,on_demand,on_demand,True,18,13,9.6,8.35,0.0,5.096,3.241,3.82,0.0,both_shop,True,17.95,14.72,60.4,14.62,1.74,31,2.106,SH87,5.0,0,0,1,0,1,1,0,1,0,0,0.096154444
24.404,21.383,3.021,0.1238,47.2,224.8,True,s1->s2->c2->c1,Austin,O745,O3496,delivery_only,shop_and_deliver,same_day,same_day,True,11,14,8.6,8.81,0.0,15.063,9.042,6.32,15.2,mixed,False,17.41,14.28,47.2,18.15,0.66,25,1.751,SH44,4.95,0,0,0,0,1,0,1,0,0,0,0.29172125
17.94,11.369,6.571,0.3663,48.0,196.3,True,s1->s2->c1->c2,Austin,O1831,O5250,shop_and_deliver,shop_and_deliver,same_day,same_day,True,5,3,5.66,8.58,0.0,5.649,5.72,6.501,43.7,both_shop,True,14.24,11.68,48.0,14.6,1.02,8,0.685,SH27,4.42,0,0,1,0,1,0,1,0,0,0,0.18100753
14.949,7.734,7.215,0.4826,42.7,120.0,True,s1->s2->c2->c1,San Francisco,O3095,O4428,shop_and_deliver,shop_and_deliver,on_demand,same_day,True,9,13,6.73,7.26,0.0,5.698,6.456,2.037,44.9,both_shop,True,13.99,11.47,42.7,16.12,1.46,22,1.918,SH1,5.0,0,0,1,0,1,1,0,0,0,1,0.18852796
11.631,11.536,0.095,0.0082,57.4,91.2,True,s1->s2->c1->c2,Birmingham,O5202,O5528,shop_and_deliver,delivery_only,on_demand,next_day,True,22,7,11.8,6.02,0.0,8.354,3.182,5.267,28.8,mixed,False,17.82,14.61,57.4,15.27,1.26,29,1.985,SH92,4.96,0,0,0,0,1,1,0,1,0,0,0.1283242
28.435,24.063,4.371,0.1537,84.4,103.3,True,s1->s2->c2->c1,Austin,O2316,O5301,shop_and_deliver,delivery_only,same_day,on_demand,True,16,2,8.63,5.88,0.0,17.106,10.738,6.958,16.7,mixed,False,14.510000000000002,11.9,84.4,8.46,0.49,18,1.513,SH20,4.75,1,0,0,0,1,1,1,0,0,0,0.10630147
24.554,18.218,6.337,0.2581,84.0,120.0,True,s1->s2->c2->c1,Los Angeles,O1889,O3584,shop_and_deliver,shop_and_deliver,same_day,on_demand,True,9,7,9.52,7.54,0.0,10.342,8.339,7.876,26.1,both_shop,True,17.06,13.99,84.0,9.99,0.76,16,1.144,SH87,5.0,0,0,1,0,1,1,0,0,1,0,0.03423874
33.415,21.452,11.962,0.358,80.8,112.5,True,s1->s2->c2->c1,Los Angeles,O132,O287,shop_and_deliver,shop_and_deliver,on_demand,on_demand,True,5,11,4.92,12.11,0.0,17.726,14.844,3.726,7.5,both_shop,True,17.03,13.96,80.8,10.37,0.65,16,1.146,SH94,5.0,0,0,1,0,1,1,0,0,1,0,0.03965271
